"id","display_name","payment_term_type","payment_term_count","note","line_ids/day_of_the_month","line_ids/id","line_ids/days","line_ids/option","line_ids/sequence","line_ids/value","line_ids/value_amount"
"__export__.account_payment_term_11_63ffae6e19dd7","recorrencia_1x","Recorrência","1","Recorrência em 1 meses","0","__export__.account_payment_term_line_1_63ffae6e19e15","0","dias após a data da fatura","9","Saldo","0.0"
"__export__.account_payment_term_12_63ffae6e19e54","recorrencia_2x","Recorrência","2","Recorrência em 2 meses","0","__export__.account_payment_term_line_2_63ffae6e19e8e","0","dias após a data da fatura","9","Percentual","50.0"
"","","","","","10","__export__.account_payment_term_line_3_63ffae6e19ed2","30","dias após a data da fatura","10","Saldo","0.0"
"__export__.account_payment_term_13_63ffae6e19f0f","recorrencia_3x","Recorrência","3","Recorrência em 3 meses","0","__export__.account_payment_term_line_4_63ffae6e19f48","0","dias após a data da fatura","9","Percentual","33.3333"
"","","","","","10","__export__.account_payment_term_line_5_63ffae6e19f89","30","dias após a data da fatura","10","Percentual","33.3333"
"","","","","","10","__export__.account_payment_term_line_6_63ffae6e19fc9","60","dias após a data da fatura","11","Saldo","0.0"
"__export__.account_payment_term_14_63ffae6e1a005","recorrencia_4x","Recorrência","4","Recorrência em 4 meses","0","__export__.account_payment_term_line_7_63ffae6e1a03e","0","dias após a data da fatura","9","Percentual","25.0"
"","","","","","10","__export__.account_payment_term_line_8_63ffae6e1a07d","30","dias após a data da fatura","10","Percentual","25.0"
"","","","","","10","__export__.account_payment_term_line_9_63ffae6e1a0bd","60","dias após a data da fatura","11","Percentual","25.0"
"","","","","","10","__export__.account_payment_term_line_10_63ffae6e1a0fc","90","dias após a data da fatura","12","Saldo","0.0"
"__export__.account_payment_term_15_63ffae6e1a135","recorrencia_5x","Recorrência","5","Recorrência em 5 meses","0","__export__.account_payment_term_line_11_63ffae6e1a16f","0","dias após a data da fatura","9","Percentual","20.0"
"","","","","","10","__export__.account_payment_term_line_12_63ffae6e1a1ae","30","dias após a data da fatura","10","Percentual","20.0"
"","","","","","10","__export__.account_payment_term_line_13_63ffae6e1a1ee","60","dias após a data da fatura","11","Percentual","20.0"
"","","","","","10","__export__.account_payment_term_line_14_63ffae6e1a22d","90","dias após a data da fatura","12","Percentual","20.0"
"","","","","","10","__export__.account_payment_term_line_15_63ffae6e1a26c","120","dias após a data da fatura","13","Saldo","0.0"
"__export__.account_payment_term_16_63ffae6e1a2a9","recorrencia_6x","Recorrência","6","Recorrência em 6 meses","0","__export__.account_payment_term_line_16_63ffae6e1a2e2","0","dias após a data da fatura","9","Percentual","16.6667"
"","","","","","10","__export__.account_payment_term_line_17_63ffae6e1a322","30","dias após a data da fatura","10","Percentual","16.6667"
"","","","","","10","__export__.account_payment_term_line_18_63ffae6e1a361","60","dias após a data da fatura","11","Percentual","16.6667"
"","","","","","10","__export__.account_payment_term_line_19_63ffae6e1a3a0","90","dias após a data da fatura","12","Percentual","16.6667"
"","","","","","10","__export__.account_payment_term_line_20_63ffae6e1a3e0","120","dias após a data da fatura","13","Percentual","16.6667"
"","","","","","10","__export__.account_payment_term_line_21_63ffae6e1a420","150","dias após a data da fatura","14","Saldo","0.0"
"__export__.account_payment_term_17_63ffae6e1a45c","recorrencia_7x","Recorrência","7","Recorrência em 7 meses","0","__export__.account_payment_term_line_22_63ffae6e1a495","0","dias após a data da fatura","9","Percentual","14.2857"
"","","","","","10","__export__.account_payment_term_line_23_63ffae6e1a4d4","30","dias após a data da fatura","10","Percentual","14.2857"
"","","","","","10","__export__.account_payment_term_line_24_63ffae6e1a514","60","dias após a data da fatura","11","Percentual","14.2857"
"","","","","","10","__export__.account_payment_term_line_25_63ffae6e1a552","90","dias após a data da fatura","12","Percentual","14.2857"
"","","","","","10","__export__.account_payment_term_line_26_63ffae6e1a592","120","dias após a data da fatura","13","Percentual","14.2857"
"","","","","","10","__export__.account_payment_term_line_27_63ffae6e1a5d1","150","dias após a data da fatura","14","Percentual","14.2857"
"","","","","","10","__export__.account_payment_term_line_28_63ffae6e1a611","180","dias após a data da fatura","15","Saldo","0.0"
"__export__.account_payment_term_18_63ffae6e1a64d","recorrencia_8x","Recorrência","8","Recorrência em 8 meses","0","__export__.account_payment_term_line_29_63ffae6e1a668","0","dias após a data da fatura","9","Percentual","12.5"
"","","","","","10","__export__.account_payment_term_line_30_63ffae6e1a6a9","30","dias após a data da fatura","10","Percentual","12.5"
"","","","","","10","__export__.account_payment_term_line_31_63ffae6e1a6ed","60","dias após a data da fatura","11","Percentual","12.5"
"","","","","","10","__export__.account_payment_term_line_32_63ffae6e1a72d","90","dias após a data da fatura","12","Percentual","12.5"
"","","","","","10","__export__.account_payment_term_line_33_63ffae6e1a76d","120","dias após a data da fatura","13","Percentual","12.5"
"","","","","","10","__export__.account_payment_term_line_34_63ffae6e1a7ac","150","dias após a data da fatura","14","Percentual","12.5"
"","","","","","10","__export__.account_payment_term_line_35_63ffae6e1a7ec","180","dias após a data da fatura","15","Percentual","12.5"
